Country/Region,ObservationDate,Province/State,Confirmed,Deaths,Recovered
Germany,7/16/2020,Unknown,1065,0,541
India,7/16/2020,Unknown,531,0,0
Japan,7/16/2020,Unknown,8,0,8
Peru,7/16/2020,Unknown,0,0,230994
Spain,7/16/2020,Unknown,0,0,0
UK,7/16/2020,Unknown,0,0,0
Sweden,7/16/2020,Uppsala,3490,238,0
US,7/16/2020,Utah,31845,234,0
India,7/16/2020,Uttar Pradesh,43441,1046,26675
India,7/16/2020,Uttarakhand,3982,50,2995
Italy,7/16/2020,Valle d'Aosta,1196,146,1048
Colombia,7/16/2020,Valle del Cauca,15716,642,7476
Chile,7/16/2020,Valparaiso,15068,363,13097
Sweden,7/16/2020,Varmland,1006,71,0
Sweden,7/16/2020,Vasterbotten,805,31,0
Sweden,7/16/2020,Vasternorrland,1636,122,0
Sweden,7/16/2020,Vastmanland,2547,175,0
Sweden,7/16/2020,Vastra Gotaland,17126,798,0
Colombia,7/16/2020,Vaupes,61,1,22
Italy,7/16/2020,Veneto,19470,2047,16968
Mexico,7/16/2020,Veracruz,15376,2101,11747
US,7/16/2020,Vermont,1325,56,0
Colombia,7/16/2020,Vichada,1,0,1
Australia,7/16/2020,Victoria,5165,32,2669
Ukraine,7/16/2020,Vinnytsia Oblast,2221,38,1673
US,7/16/2020,Virgin Islands,249,6,0
US,7/16/2020,Virginia,74431,2007,0
Russia,7/16/2020,Vladimir Oblast,5091,100,4255
Russia,7/16/2020,Volgograd Oblast,7785,51,4403
Russia,7/16/2020,Vologda Oblast,2002,19,1548
Ukraine,7/16/2020,Volyn Oblast,3147,74,1954
Russia,7/16/2020,Voronezh Oblast,9743,71,7014
Japan,7/16/2020,Wakayama,84,3,61
UK,7/16/2020,Wales,16871,1545,0
US,7/16/2020,Washington,44313,1427,0
India,7/16/2020,West Bengal,36117,1023,21415
US,7/16/2020,West Virginia,4657,99,0
Australia,7/16/2020,Western Australia,646,9,610
US,7/16/2020,Wisconsin,39627,831,0
US,7/16/2020,Wyoming,2026,24,0
Mainland China,7/16/2020,Xinjiang,77,3,73
Japan,7/16/2020,Yamagata,75,1,70
Japan,7/16/2020,Yamaguchi,41,0,37
Russia,7/16/2020,Yamalo-Nenets Autonomous Okrug,8759,59,3705
Japan,7/16/2020,Yamanashi,77,1,74
Russia,7/16/2020,Yaroslavl Oblast,5431,22,4660
Mexico,7/16/2020,Yucatan,6872,658,4913
Canada,7/16/2020,Yukon,11,0,11
Mainland China,7/16/2020,Yunnan,188,2,183
Russia,7/16/2020,Zabaykalsky Krai,3802,47,2958
Mexico,7/16/2020,Zacatecas,1582,152,1092
Ukraine,7/16/2020,Zakarpattia Oblast,4166,143,1405
Ukraine,7/16/2020,Zaporizhia Oblast,642,20,535
Mainland China,7/16/2020,Zhejiang,1270,1,1267
Ukraine,7/16/2020,Zhytomyr Oblast,1569,34,1226
Afghanistan,7/17/2020,,35229,1147,23151
Albania,7/17/2020,,3906,107,2214
Algeria,7/17/2020,,21948,1057,15430
Andorra,7/17/2020,,880,52,803
Angola,7/17/2020,,638,29,199
Antigua and Barbuda,7/17/2020,,76,3,57
Argentina,7/17/2020,,119301,2178,49780
Armenia,7/17/2020,,34001,620,22492
Austria,7/17/2020,,19439,711,17335
Azerbaijan,7/17/2020,,26636,341,17805
Bahamas,7/17/2020,,129,11,91
Bahrain,7/17/2020,,35473,124,31188
Bangladesh,7/17/2020,,199357,2547,108725
Barbados,7/17/2020,,104,7,91
Belarus,7/17/2020,,65782,491,57370
Belgium,7/17/2020,,63499,9800,17289
Belize,7/17/2020,,40,2,22
Benin,7/17/2020,,1602,31,782
Bhutan,7/17/2020,,87,0,78
Bolivia,7/17/2020,,56102,2049,17882
Bosnia and Herzegovina,7/17/2020,,7908,245,3612
Botswana,7/17/2020,,522,1,48
Brunei,7/17/2020,,141,3,138
Bulgaria,7/17/2020,,8442,297,4033
Burkina Faso,7/17/2020,,1045,53,887
Burma,7/17/2020,,339,6,271
Burundi,7/17/2020,,310,1,207
Cabo Verde,7/17/2020,,1939,19,902
Cambodia,7/17/2020,,171,0,133
Cameroon,7/17/2020,,16157,373,13728
Central African Republic,7/17/2020,,4389,53,1288
Chad,7/17/2020,,887,75,800
Comoros,7/17/2020,,328,7,311
Congo (Brazzaville),7/17/2020,,2633,49,626
Congo (Kinshasa),7/17/2020,,8249,193,4248
Costa Rica,7/17/2020,,9969,47,2818
Croatia,7/17/2020,,4137,120,2825
Cuba,7/17/2020,,2444,87,2300
Cyprus,7/17/2020,,1033,19,845
Czech Republic,7/17/2020,,13742,358,8725
Denmark,7/17/2020,,13173,611,12209
Diamond Princess,7/17/2020,,712,13,651
Djibouti,7/17/2020,,5003,56,4809
Dominica,7/17/2020,,18,0,18
Dominican Republic,7/17/2020,,50113,942,24423
Ecuador,7/17/2020,,72444,5250,31404
Egypt,7/17/2020,,86474,4188,27302
El Salvador,7/17/2020,,11207,309,6422
Equatorial Guinea,7/17/2020,,3071,51,842
Eritrea,7/17/2020,,251,0,155
Estonia,7/17/2020,,2020,69,1910
Eswatini,7/17/2020,,1619,21,769
Ethiopia,7/17/2020,,8803,150,2430
Fiji,7/17/2020,,26,0,18
Finland,7/17/2020,,7301,328,6880
France,7/17/2020,,201448,30049,71979
Gabon,7/17/2020,,6315,46,3865
Gambia,7/17/2020,,78,3,34
Georgia,7/17/2020,,1010,15,885
Ghana,7/17/2020,,26572,144,22915
Greece,7/17/2020,,3964,194,1374
Grenada,7/17/2020,,23,0,23
Guatemala,7/17/2020,,33809,1443,4989
Guinea,7/17/2020,,6430,39,5233
Guinea-Bissau,7/17/2020,,1927,26,773
Guyana,7/17/2020,,320,19,156
Haiti,7/17/2020,,6975,146,3738
Holy See,7/17/2020,,12,0,12
Honduras,7/17/2020,,31745,857,3565
Hungary,7/17/2020,,4293,595,3220
Iceland,7/17/2020,,1916,10,1895
Indonesia,7/17/2020,,83130,3957,41834
Iran,7/17/2020,,269440,13791,232873
Iraq,7/17/2020,,88171,3616,56495
Ireland,7/17/2020,,25730,1752,23364
Israel,7/17/2020,,47459,392,20744
Ivory Coast,7/17/2020,,13696,87,7607
Jamaica,7/17/2020,,768,10,678
Jordan,7/17/2020,,1209,10,1021
Kazakhstan,7/17/2020,,68703,375,40256
Kenya,7/17/2020,,12062,222,3983
Kosovo,7/17/2020,,5472,124,2640
Kuwait,7/17/2020,,58221,404,48381
Kyrgyzstan,7/17/2020,,13101,173,3821
Laos,7/17/2020,,19,0,19
Latvia,7/17/2020,,1185,31,1022
Lebanon,7/17/2020,,2700,40,1485
Lesotho,7/17/2020,,311,6,69
Liberia,7/17/2020,,1085,69,496
Libya,7/17/2020,,1704,47,380
Liechtenstein,7/17/2020,,85,1,81
Lithuania,7/17/2020,,1908,79,1595
Luxembourg,7/17/2020,,5409,111,4333
MS Zaandam,7/17/2020,,9,2,0
Madagascar,7/17/2020,,6467,54,3108
Malawi,7/17/2020,,2805,55,1107
Malaysia,7/17/2020,,8755,122,8541
Maldives,7/17/2020,,2913,15,2340
Mali,7/17/2020,,2467,121,1791
Malta,7/17/2020,,674,9,662
Mauritania,7/17/2020,,5710,151,3153
Mauritius,7/17/2020,,343,10,331
Moldova,7/17/2020,,20494,675,13913
Monaco,7/17/2020,,109,4,98
Mongolia,7/17/2020,,287,0,211
Montenegro,7/17/2020,,1965,26,357
Morocco,7/17/2020,,16726,264,14360
Mozambique,7/17/2020,,1402,9,397
Namibia,7/17/2020,,1078,2,32
Nepal,7/17/2020,,17445,40,11534
New Zealand,7/17/2020,,1550,22,1506
Nicaragua,7/17/2020,,3147,99,2282
Niger,7/17/2020,,1102,69,1013
Nigeria,7/17/2020,,35454,772,14633
North Macedonia,7/17/2020,,8786,406,4676
Norway,7/17/2020,,9025,255,8138
Oman,7/17/2020,,64193,298,41450
Panama,7/17/2020,,51408,1038,26520
Papua New Guinea,7/17/2020,,15,0,8
Paraguay,7/17/2020,,3457,28,1481
Philippines,7/17/2020,,63001,1660,21748
Poland,7/17/2020,,39407,1612,29505
Portugal,7/17/2020,,48077,1682,32790
Qatar,7/17/2020,,105898,153,102597
Romania,7/17/2020,,35802,1988,22312
Rwanda,7/17/2020,,1485,4,811
Saint Kitts and Nevis,7/17/2020,,17,0,15
Saint Lucia,7/17/2020,,23,0,19
Saint Vincent and the Grenadines,7/17/2020,,35,0,29
San Marino,7/17/2020,,699,42,656
Sao Tome and Principe,7/17/2020,,741,14,325
Saudi Arabia,7/17/2020,,245851,2407,191161
Senegal,7/17/2020,,8544,160,5809
Serbia,7/17/2020,,20109,452,14799
Seychelles,7/17/2020,,108,0,27
Sierra Leone,7/17/2020,,1688,65,1219
Singapore,7/17/2020,,47453,27,43577
Slovakia,7/17/2020,,1965,28,1523
Slovenia,7/17/2020,,1916,111,1522
Somalia,7/17/2020,,3106,93,1444
South Africa,7/17/2020,,337594,4804,178183
South Korea,7/17/2020,,13711,294,12519
South Sudan,7/17/2020,,2191,43,1175
Sri Lanka,7/17/2020,,2697,11,2012
Sudan,7/17/2020,,10527,668,5601
Suriname,7/17/2020,,943,19,600
Switzerland,7/17/2020,,33382,1969,29900
Syria,7/17/2020,,496,25,144
Taiwan,7/17/2020,,451,7,440
Tajikistan,7/17/2020,,6786,56,5483
Tanzania,7/17/2020,,509,21,183
Thailand,7/17/2020,,3239,58,3096
Timor-Leste,7/17/2020,,24,0,24
Togo,7/17/2020,,766,15,546
Trinidad and Tobago,7/17/2020,,136,8,124
Tunisia,7/17/2020,,1336,50,1095
Turkey,7/17/2020,,217799,5458,199834
Uganda,7/17/2020,,1056,0,1023
United Arab Emirates,7/17/2020,,56422,337,48448
Uruguay,7/17/2020,,1037,32,917
Uzbekistan,7/17/2020,,15607,79,9003
Venezuela,7/17/2020,,11191,107,3852
Vietnam,7/17/2020,,382,0,356
West Bank and Gaza,7/17/2020,,7764,53,1492
Western Sahara,7/17/2020,,10,1,8
Yemen,7/17/2020,,1576,440,695
Zambia,7/17/2020,,2810,109,1450
Zimbabwe,7/17/2020,,1420,24,438
Italy,7/17/2020,Abruzzo,3334,468,2747
Brazil,7/17/2020,Acre,16965,452,9697
Russia,7/17/2020,Adygea Republic,2326,16,1882
Mexico,7/17/2020,Aguascalientes,3235,205,2629
Japan,7/17/2020,Aichi,592,34,485
Japan,7/17/2020,Akita,16,0,16
US,7/17/2020,Alabama,63091,1265,0
Brazil,7/17/2020,Alagoas,49253,1365,42695
US,7/17/2020,Alaska,1734,17,0
Canada,7/17/2020,Alberta,9219,167,8193
Russia,7/17/2020,Altai Krai,6983,55,4460
Russia,7/17/2020,Altai Republic,1197,1,706
Brazil,7/17/2020,Amapa,33436,499,22154
Brazil,7/17/2020,Amazonas,88822,3118,74531
Colombia,7/17/2020,Amazonas,2445,101,2245
Peru,7/17/2020,Amazonas,3653,97,0
Russia,7/17/2020,Amur Oblast,2314,31,1373
Peru,7/17/2020,Ancash,10125,582,0
Spain,7/17/2020,Andalusia,13731,1435,10671
India,7/17/2020,Andaman and Nicobar Islands,194,0,142
India,7/17/2020,Andhra Pradesh,40646,534,20298
UK,7/17/2020,Anguilla,3,0,3
Mainland China,7/17/2020,Anhui,991,6,985
Colombia,7/17/2020,Antioquia,13335,166,3657
Chile,7/17/2020,Antofagasta,12716,271,10844
Japan,7/17/2020,Aomori,34,1,26
Peru,7/17/2020,Apurimac,691,25,0
Spain,7/17/2020,Aragon,7639,915,3772
Colombia,7/17/2020,Arauca,161,0,76
Chile,7/17/2020,Araucania,3687,71,3402
Peru,7/17/2020,Arequipa,9939,508,0
Chile,7/17/2020,Arica y Parinacota,2936,34,2141
US,7/17/2020,Arizona,138523,2583,0
US,7/17/2020,Arkansas,31762,353,0
Russia,7/17/2020,Arkhangelsk Oblast,7608,129,5192
Netherlands,7/17/2020,Aruba,111,3,100
India,7/17/2020,Arunachal Pradesh,609,3,175
India,7/17/2020,Assam,20646,51,14105
Russia,7/17/2020,Astrakhan Oblast,4086,39,2886
Spain,7/17/2020,Asturias,2442,334,1063
Chile,7/17/2020,Atacama,1736,9,1347
Colombia,7/17/2020,Atlantico,41006,2107,20336
Australia,7/17/2020,Australian Capital Territory,113,3,105
Peru,7/17/2020,Ayacucho,2604,43,0
Chile,7/17/2020,Aysen,69,1,46
Pakistan,7/17/2020,Azad Jammu and Kashmir,1840,46,1094
Germany,7/17/2020,Baden-Wurttemberg,36352,1838,34050
Brazil,7/17/2020,Bahia,118657,2738,94923
Mexico,7/17/2020,Baja California,11770,2413,8852
Mexico,7/17/2020,Baja California Sur,2874,116,2161
Spain,7/17/2020,Baleares,2290,224,1533
Pakistan,7/17/2020,Balochistan,11405,131,8313
Russia,7/17/2020,Bashkortostan Republic,6194,20,4572
Italy,7/17/2020,Basilicata,405,27,373
Germany,7/17/2020,Bayern,49631,2616,45960
Mainland China,7/17/2020,Beijing,929,9,752
Russia,7/17/2020,Belgorod Oblast,5360,43,4891
Germany,7/17/2020,Berlin,8747,221,8199
UK,7/17/2020,Bermuda,152,9,137
India,7/17/2020,Bihar,23589,201,14621
Chile,7/17/2020,Biobio,9150,95,7765
Sweden,7/17/2020,Blekinge,478,14,0
Colombia,7/17/2020,Bolivar,14172,495,8452
Netherlands,7/17/2020,"Bonaire, Sint Eustatius and Saba",10,0,7
Colombia,7/17/2020,Boyaca,608,17,311
Germany,7/17/2020,Brandenburg,3498,173,3300
Germany,7/17/2020,Bremen,1710,55,1623
Canada,7/17/2020,British Columbia,3198,189,2802
UK,7/17/2020,British Virgin Islands,8,1,7
Russia,7/17/2020,Bryansk Oblast,6978,35,5314
Russia,7/17/2020,Buryatia Republic,3566,32,2753
Spain,7/17/2020,C. Valenciana,11933,1432,9970
Peru,7/17/2020,Cajamarca,4019,140,0
Italy,7/17/2020,Calabria,1231,97,1065
Colombia,7/17/2020,Caldas,342,7,241
US,7/17/2020,California,373259,7603,0
Peru,7/17/2020,Callao,19573,755,0
Italy,7/17/2020,Campania,4803,433,4098
Mexico,7/17/2020,Campeche,3321,339,2710
Spain,7/17/2020,Canarias,2483,162,1537
Spain,7/17/2020,Cantabria,2381,217,2287
Colombia,7/17/2020,Capital District,58917,1402,22047
Colombia,7/17/2020,Caqueta,182,4,32
Colombia,7/17/2020,Casanare,144,1,65
Spain,7/17/2020,Castilla - La Mancha,18431,3034,6392
Spain,7/17/2020,Castilla y Leon,19870,2793,8716
Spain,7/17/2020,Catalonia,67217,5678,26203
Colombia,7/17/2020,Cauca,1005,33,302
UK,7/17/2020,Cayman Islands,203,1,200
Brazil,7/17/2020,Ceara,145938,7165,118988
Colombia,7/17/2020,Cesar,1819,38,979
Spain,7/17/2020,Ceuta,164,4,163
India,7/17/2020,Chandigarh,660,11,480
UK,7/17/2020,Channel Islands,583,47,529
Russia,7/17/2020,Chechen Republic,1895,29,1298
Russia,7/17/2020,Chelyabinsk Oblast,9420,88,5282
Ukraine,7/17/2020,Cherkasy Oblast,800,32,611
Ukraine,7/17/2020,Chernihiv Oblast,632,14,309
Ukraine,7/17/2020,Chernivtsi Oblast,5262,204,3217
India,7/17/2020,Chhattisgarh,4964,23,3512
Mexico,7/17/2020,Chiapas,5379,806,4401
Japan,7/17/2020,Chiba,1244,46,967
Mexico,7/17/2020,Chihuahua,4267,785,3280
Colombia,7/17/2020,Choco,2432,80,1305
Mainland China,7/17/2020,Chongqing,583,6,576
Russia,7/17/2020,Chukotka Autonomous Okrug,146,1,142
Russia,7/17/2020,Chuvashia Republic,6110,48,3307
Mexico,7/17/2020,Ciudad de Mexico,61351,8101,49295
Mexico,7/17/2020,Coahuila,8428,439,6857
Mexico,7/17/2020,Colima,1102,133,707
US,7/17/2020,Colorado,39326,1751,0
US,7/17/2020,Connecticut,47893,4396,0
Chile,7/17/2020,Coquimbo,4386,49,3682
Colombia,7/17/2020,Cordoba,2175,256,520
Ukraine,7/17/2020,Crimea Republic*,917,12,684
Colombia,7/17/2020,Cundinamarca,5358,116,2386
Netherlands,7/17/2020,Curacao,28,1,24
Peru,7/17/2020,Cusco,2586,35,0
India,7/17/2020,Dadra and Nagar Haveli and Daman and Diu,585,2,401
Russia,7/17/2020,Dagestan Republic,8691,422,7238
Sweden,7/17/2020,Dalarna,1897,165,0
US,7/17/2020,Delaware,13337,521,0
India,7/17/2020,Delhi,120107,3571,99301
Canada,7/17/2020,Diamond Princess cruise ship,0,1,0
US,7/17/2020,Diamond Princess cruise ship,49,0,0
US,7/17/2020,District of Columbia,11115,577,0
Brazil,7/17/2020,Distrito Federal,79400,1060,65443
Ukraine,7/17/2020,Dnipropetrovsk Oblast,1174,24,1057
Ukraine,7/17/2020,Donetsk Oblast,781,10,298
Netherlands,7/17/2020,Drenthe,536,41,0
Mexico,7/17/2020,Durango,3086,221,2405
Japan,7/17/2020,Ehime,82,5,77
Italy,7/17/2020,Emilia-Romagna,29087,4273,23586
UK,7/17/2020,England,252117,40640,0
Brazil,7/17/2020,Espirito Santo,69461,2174,47416
Spain,7/17/2020,Extremadura,3243,519,2652
UK,7/17/2020,Falkland Islands (Malvinas),13,0,13
Denmark,7/17/2020,Faroe Islands,188,0,188
Netherlands,7/17/2020,Flevoland,981,92,0
US,7/17/2020,Florida,327241,4805,0
France,7/17/2020,French Guiana,6509,34,3932
France,7/17/2020,French Polynesia,62,0,60
Netherlands,7/17/2020,Friesland,642,69,0
Italy,7/17/2020,Friuli Venezia Giulia,3346,345,2905
Mainland China,7/17/2020,Fujian,363,1,361
Japan,7/17/2020,Fukui,126,8,114
Japan,7/17/2020,Fukuoka,968,33,837
Japan,7/17/2020,Fukushima,84,0,82
Spain,7/17/2020,Galicia,9494,619,9204
Mainland China,7/17/2020,Gansu,167,2,165
Sweden,7/17/2020,Gavleborg,3022,152,0
Netherlands,7/17/2020,Gelderland,6518,684,0
US,7/17/2020,Georgia,135192,3132,0
UK,7/17/2020,Gibraltar,180,0,180
Japan,7/17/2020,Gifu,172,7,151
Pakistan,7/17/2020,Gilgit-Baltistan,1796,39,1409
India,7/17/2020,Goa,3304,21,1946
Brazil,7/17/2020,Goias,40681,1029,12516
Sweden,7/17/2020,Gotland,196,6,0
Canada,7/17/2020,Grand Princess,13,0,13
US,7/17/2020,Grand Princess,103,3,0
Denmark,7/17/2020,Greenland,13,0,13
Netherlands,7/17/2020,Groningen,367,17,0
France,7/17/2020,Guadeloupe,195,14,172
Colombia,7/17/2020,Guainia,14,1,13
US,7/17/2020,Guam,314,5,0
Mexico,7/17/2020,Guanajuato,14021,705,10947
Mainland China,7/17/2020,Guangdong,1650,8,1636
Mainland China,7/17/2020,Guangxi,254,2,252
Colombia,7/17/2020,Guaviare,48,0,37
Mexico,7/17/2020,Guerrero,8642,1157,6791
Mainland China,7/17/2020,Guizhou,147,2,145
India,7/17/2020,Gujarat,46430,2106,32973
Japan,7/17/2020,Gunma,166,19,136
Mainland China,7/17/2020,Hainan,171,6,165
Sweden,7/17/2020,Halland,1671,78,0
Germany,7/17/2020,Hamburg,5236,260,4900
India,7/17/2020,Haryana,24797,327,18718
US,7/17/2020,Hawaii,1334,23,0
Mainland China,7/17/2020,Hebei,349,6,340
Mainland China,7/17/2020,Heilongjiang,947,13,934
Mainland China,7/17/2020,Henan,1276,22,1254
Germany,7/17/2020,Hessen,11324,514,10301
Mexico,7/17/2020,Hidalgo,5192,860,3815
India,7/17/2020,Himachal Pradesh,1417,11,1024
Japan,7/17/2020,Hiroshima,204,3,167
Japan,7/17/2020,Hokkaido,1317,102,1139
Hong Kong,7/17/2020,Hong Kong,1655,10,1254
Peru,7/17/2020,Huancavelica,1176,26,0
Peru,7/17/2020,Huanuco,4500,127,0
Mainland China,7/17/2020,Hubei,68135,4512,63623
Colombia,7/17/2020,Huila,492,15,346
Mainland China,7/17/2020,Hunan,1019,4,1015
Japan,7/17/2020,Hyogo,801,45,674
Japan,7/17/2020,Ibaraki,215,10,181
Peru,7/17/2020,Ica,9795,662,0
US,7/17/2020,Idaho,13753,118,0
US,7/17/2020,Illinois,160509,7465,0
US,7/17/2020,Indiana,54813,2803,0
Russia,7/17/2020,Ingushetia Republic,3393,71,2533
Mainland China,7/17/2020,Inner Mongolia,249,1,237
US,7/17/2020,Iowa,37903,785,0
Russia,7/17/2020,Irkutsk Oblast,11074,115,5912
Japan,7/17/2020,Ishikawa,301,27,269
Pakistan,7/17/2020,Islamabad,14504,157,11708
UK,7/17/2020,Isle of Man,336,24,312
Ukraine,7/17/2020,Ivano-Frankivsk Oblast,3309,119,1286
Russia,7/17/2020,Ivanovo Oblast,5813,63,4153
Mexico,7/17/2020,Jalisco,10075,1177,7557
India,7/17/2020,Jammu and Kashmir,12757,231,6558
Sweden,7/17/2020,Jamtland Harjedalen,1100,59,0
Russia,7/17/2020,Jewish Autonomous Okrug,499,7,406
India,7/17/2020,Jharkhand,4921,46,2570
Mainland China,7/17/2020,Jiangsu,654,0,654
Mainland China,7/17/2020,Jiangxi,932,1,931
Mainland China,7/17/2020,Jilin,155,2,153
Sweden,7/17/2020,Jonkoping,4544,178,0
Peru,7/17/2020,Junin,5707,260,0
Russia,7/17/2020,Kabardino-Balkarian Republic,5751,63,5228
Japan,7/17/2020,Kagawa,44,0,28
Japan,7/17/2020,Kagoshima,163,0,74
Russia,7/17/2020,Kaliningrad Oblast,2676,43,1921
Sweden,7/17/2020,Kalmar,743,61,0
Russia,7/17/2020,Kalmykia Republic,2315,30,1339
Russia,7/17/2020,Kaluga Oblast,6818,54,5139
Russia,7/17/2020,Kamchatka Krai,2910,42,2130
Japan,7/17/2020,Kanagawa,1920,98,1555
US,7/17/2020,Kansas,21388,306,0
Russia,7/17/2020,Karachay-Cherkess Republic,4162,20,2612
Russia,7/17/2020,Karelia Republic,1852,3,1075
India,7/17/2020,Karnataka,55115,1147,20757
Russia,7/17/2020,Kemerovo Oblast,2650,15,1439
US,7/17/2020,Kentucky,21605,658,0
India,7/17/2020,Kerala,11066,38,4995
Russia,7/17/2020,Khabarovsk Krai,5873,46,3050
Russia,7/17/2020,Khakassia Republic,2520,25,1969
Russia,7/17/2020,Khanty-Mansi Autonomous Okrug,13494,97,8164
Ukraine,7/17/2020,Kharkiv Oblast,2909,114,1570
Ukraine,7/17/2020,Kherson Oblast,207,3,190
Ukraine,7/17/2020,Khmelnytskyi Oblast,942,22,804
Pakistan,7/17/2020,Khyber Pakhtunkhwa,31669,1130,22873
Ukraine,7/17/2020,Kiev,6689,126,2320
Ukraine,7/17/2020,Kiev Oblast,3184,59,2154
Russia,7/17/2020,Kirov Oblast,4046,50,3686
Ukraine,7/17/2020,Kirovohrad Oblast,677,33,601
Japan,7/17/2020,Kochi,76,3,71
Russia,7/17/2020,Komi Republic,4542,40,2639
Russia,7/17/2020,Kostroma Oblast,1922,24,1282
Russia,7/17/2020,Krasnodar Krai,7045,93,6002
Russia,7/17/2020,Krasnoyarsk Krai,11149,256,8083
Sweden,7/17/2020,Kronoberg,1104,102,0
Japan,7/17/2020,Kumamoto,49,3,46
Russia,7/17/2020,Kurgan Oblast,1653,3,796
Russia,7/17/2020,Kursk Oblast,5799,49,4080
Japan,7/17/2020,Kyoto,502,18,391
Colombia,7/17/2020,La Guajira,1301,72,340
Peru,7/17/2020,La Libertad,12743,854,0
Spain,7/17/2020,La Rioja,4111,366,3107
India,7/17/2020,Ladakh,1151,1,973
Peru,7/17/2020,Lambayeque,15495,813,0
Italy,7/17/2020,Lazio,8399,849,6698
Russia,7/17/2020,Leningrad Oblast,5269,46,4329
Mainland China,7/17/2020,Liaoning,164,2,150
Italy,7/17/2020,Liguria,10052,1565,8301
Peru,7/17/2020,Lima,185758,5939,0
Netherlands,7/17/2020,Limburg,4885,751,0
Russia,7/17/2020,Lipetsk Oblast,4349,19,3265
Italy,7/17/2020,Lombardia,95371,16778,71172
Peru,7/17/2020,Loreto,10122,366,0
Chile,7/17/2020,Los Lagos,2629,30,2062
Chile,7/17/2020,Los Rios,820,13,722
US,7/17/2020,Louisiana,88590,3509,0
Ukraine,7/17/2020,Luhansk Oblast,100,1,76
Ukraine,7/17/2020,Lviv Oblast,7754,203,1305
Macau,7/17/2020,Macau,46,0,45
India,7/17/2020,Madhya Pradesh,21081,697,14514
Peru,7/17/2020,Madre de Dios,2555,82,0
Spain,7/17/2020,Madrid,73026,8446,40736
Russia,7/17/2020,Magadan Oblast,1120,6,693
Chile,7/17/2020,Magallanes,1592,28,1466
Colombia,7/17/2020,Magdalena,3612,227,1423
India,7/17/2020,Maharashtra,292589,11452,160357
US,7/17/2020,Maine,3636,115,0
India,7/17/2020,Manipur,1800,0,1163
Canada,7/17/2020,Manitoba,336,7,318
Brazil,7/17/2020,Maranhao,105183,2640,87059
Italy,7/17/2020,Marche,6809,987,5667
Russia,7/17/2020,Mari El Republic,3436,31,2940
France,7/17/2020,Martinique,255,15,98
US,7/17/2020,Maryland,76371,3359,0
US,7/17/2020,Massachusetts,112879,8402,0
Brazil,7/17/2020,Mato Grosso,32971,1268,15959
Brazil,7/17/2020,Mato Grosso do Sul,15805,203,10239
Chile,7/17/2020,Maule,7603,125,6446
France,7/17/2020,Mayotte,2782,37,2591
Germany,7/17/2020,Mecklenburg-Vorpommern,806,20,784
India,7/17/2020,Meghalaya,403,2,66
Spain,7/17/2020,Melilla,129,2,125
Colombia,7/17/2020,Meta,1825,20,1166
Chile,7/17/2020,Metropolitana,244073,6858,226678
Mexico,7/17/2020,Mexico,45366,5596,37356
US,7/17/2020,Michigan,80593,6355,0
Mexico,7/17/2020,Michoacan,7748,619,6756
Japan,7/17/2020,Mie,54,1,46
Brazil,7/17/2020,Minas Gerais,87271,1904,60134
US,7/17/2020,Minnesota,45013,1573,0
US,7/17/2020,Mississippi,40829,1332,0
US,7/17/2020,Missouri,31738,1125,0
Japan,7/17/2020,Miyagi,129,1,100
Japan,7/17/2020,Miyazaki,20,0,17
India,7/17/2020,Mizoram,282,0,160
Italy,7/17/2020,Molise,446,23,415
US,7/17/2020,Montana,2366,37,0
UK,7/17/2020,Montserrat,12,1,10
Peru,7/17/2020,Moquegua,1541,35,0
Russia,7/17/2020,Mordovia Republic,4014,30,2926
Mexico,7/17/2020,Morelos,3540,771,2576
Russia,7/17/2020,Moscow,232376,4271,169637
Russia,7/17/2020,Moscow Oblast,61399,1043,42721
Spain,7/17/2020,Murcia,1786,148,2180
Russia,7/17/2020,Murmansk Oblast,7943,44,4296
Ukraine,7/17/2020,Mykolaiv Oblast,504,12,401
India,7/17/2020,Nagaland,956,0,405
Japan,7/17/2020,Nagano,82,0,76
Japan,7/17/2020,Nagasaki,33,1,17
Japan,7/17/2020,Nara,143,2,98
Colombia,7/17/2020,Narino,5096,160,2984
Spain,7/17/2020,Navarra,5708,529,3905
Mexico,7/17/2020,Nayarit,2638,271,1889
US,7/17/2020,Nebraska,22361,301,0
Russia,7/17/2020,Nenets Autonomous Okrug,256,0,46
US,7/17/2020,Nevada,33295,637,0
Canada,7/17/2020,New Brunswick,168,2,163
France,7/17/2020,New Caledonia,22,0,21
US,7/17/2020,New Hampshire,6165,395,0
US,7/17/2020,New Jersey,176551,15684,0
US,7/17/2020,New Mexico,16456,565,0
Australia,7/17/2020,New South Wales,3550,49,2988
US,7/17/2020,New York,405551,32463,0
Canada,7/17/2020,Newfoundland and Labrador,262,3,259
Germany,7/17/2020,Niedersachsen,13905,645,12890
Japan,7/17/2020,Niigata,88,0,83
Mainland China,7/17/2020,Ningxia,75,0,75
Russia,7/17/2020,Nizhny Novgorod Oblast,21200,325,15532
Netherlands,7/17/2020,Noord-Brabant,9747,1535,0
Netherlands,7/17/2020,Noord-Holland,7459,817,0
Germany,7/17/2020,Nordrhein-Westfalen,45710,1711,41848
Sweden,7/17/2020,Norrbotten,1526,70,0
Colombia,7/17/2020,Norte de Santander,747,35,271
